DATA UMKM	Unnamed: 1
Nama Usaha	POJOK BENGKEL MOBIL <BASORI>
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	KEBAYORAN
Kelurahan / Desa	Kramat Pela
Kecamatan	Kebayoran Baru
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	12130
No Telpon	
No Telpon Kantor	
Faksimili	
Email	
Website	
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317106004002499
Grade	E
	Edit Data UMKM
