DATA UMKM	Unnamed: 1
Nama Usaha	BENGKEL MOBIL <BUDIMAN>
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	JL AL BARKAH
Kelurahan / Desa	Cilandak Barat
Kecamatan	Cilandak
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	
No Telpon	
No Telpon Kantor	
Faksimili	
Email	
Website	
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317103004001028
Grade	E
	Edit Data UMKM
