DATA UMKM	Unnamed: 1
Nama Usaha	BENGKEL MOBIL
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	KAPTEN TENDEAN NO 18
Kelurahan / Desa	Pela Mampang
Kecamatan	Mampang Prapatan
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	12720
No Telpon	
No Telpon Kantor	
Faksimili	
Email	SPABENGKEL@GMAIL.COM
Website	
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317107003000632
Grade	E
	Edit Data UMKM
