DATA UMKM	Unnamed: 1
Nama Usaha	BENGKEL MOBIL <HADI>
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	JALAN RM.KAHFI 1
Kelurahan / Desa	Ciganjur
Kecamatan	Jagakarsa
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	12630
No Telpon	
No Telpon Kantor	
Faksimili	
Email	
Website	
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317101005001659
Grade	E
	Edit Data UMKM
