DATA UMKM	Unnamed: 1
Nama Usaha	BENGKEL MOBIL MUSYAWARAH MOTOR
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	JALAN KEBAGUSAN RAYA NO 59
Kelurahan / Desa	Ragunan
Kecamatan	Pasar Minggu
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	12550
No Telpon	
No Telpon Kantor	
Faksimili	
Email	
Website	
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317102007003980
Grade	E
	Edit Data UMKM
