DATA UMKM	Unnamed: 1
Nama Usaha	BENGKEL MOBIL HONDA (PT PERMATA HIJAU AUTO MEGAH)
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	JL. KEBAYORAN LAMA NO 40
Kelurahan / Desa	Grogol Utara
Kecamatan	Kebayoran Lama
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	12210
No Telpon	
No Telpon Kantor	
Faksimili	53690626
Email	PERMATAHIJAU40@YAHOO.COM
Website	WWW.HONDAPERMATA.CO.ID
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317105002003533
Grade	E
	Edit Data UMKM
